CourseNumber,Section,Title,Instructor,,
890,260,"Machine Learning, AI and Medicine",Krishnamurthy,151-001: Retrieving and Analyzing Information; #6140; Maneiro; Course Website; Manning 001 ,8:00-9:15
73,1,FYS  Smart Cities,Rajasekar/Rademaker,,8:00-9:15
151,1,Retrieving and Analyzing Information,Maneiro,581-001: Research Methods Overview; #6211; Losee; Course Website; Manning 014 ,8:00-9:15
151,2,Retrieving and Analyzing Information,Roscoe,490-141: Datafication of Everything; #6259; Lee; Course Website; Manning 117 (3 credits) ,9:05-11:25 (Wednesday only)
161,1,Tools for Information Literacy,L. Jones,520-001: Organization of Information; #6135; Losee; Course Website; Manning 014 ,10:10-11:25
161,2,Tools for Information Literacy,Bergquist,,
201,1,Foundations of Information Science,Feinberg,541: Information Visualization; #12756; Hemminger; Course Website; Manning 307 ,
201,2,Foundations of Information Science,Shaw,,
202,1,Retrieval and Organization Systems,TBA,556: Introduction to Archives; #6136; Anthony; Course Website; Manning 001 ,
203,1,Human Information Behavior,Threats,725: Electronic Health Records; #6230; Mostafa; Course Website; Heath Sciences Library (HSL) 333,11:15-12:30
382,1,Information Systems Analysis and Design,Brown,202-001: Retrieval and Organization Systems; #12757; TBA; Course Website; Manning 304 ,12:20-1:35
382,2,Information Systems Analysis and Design,Urquhart,,
384,1,Information and Computer Ethics,Anthony,512: Applications of Natural Language Processing; #6181; Haas; Course Website; Manning 307 ,
385,1,Information Use for Organizational Effectiveness,Bergquist,,
385,2,Information Use for Organizational Effectiveness,Jarrahi,"690-189: Big Data, Algorithms, and Society; #6263; Tufekci; Course Website; Manning 001 ",
418,1,Human Factors in System Design,Clarke,525: Electronic Records Management; #13575; Barnes; Course Website; Manning 117,12:20-3:05 (Monday only)
465,1,Understanding Information Technology for Managing Digital Collections,Post,,
490,141,Datafication of Everything,Lee,690-147: Information Services in a Diverse Society; #9708; Hughes-Hassell; Course Website; Manning 014 ,
490,172,Fundamentals of Programming Information Applications,Capra,843-001: Seminar in Public Libraries; #12759; Flaherty; Course Website; Manning 303 ,12:20-3:05 (Wednesday only)
490,248,Introduction to Information Security,Hodges,,
500,1,Human Information Interactions,Gibson,"857-001: Seminar in Rare Books, #13146; Ott; Course Website; Wilson Library 504 ",
500,02W,Human Information Interactions,E. Bailey,203-001: Human Information Behavior; #8092; Threats; Course Website; Manning 304 ,2:30-3:45
501,1,Information Resources and Services,S. Brown,,
509,1,Information Retrieval,Arguello,613: Text Mining; #12758; Arguello; Course Website; Manning 307,
512,1,Applications of Natural Language Processing,Haas,,
513,1,Resource Selection and Evaluation,Flaherty,697-001: Information Science Capstone; #6141; Jones; Course Website; Manning 208 ,
520,1,Organization of Information,Losee,161-001: Tools for Information Literacy; #6133; L. Jones; Course Website; Manning 117 ,3:35-4:50
520,2,Organization of Information,Feinberg,770: Health Informatics Seminar; #6264; TBA; Course Website; Health Sciences Library (HSL) 227,4:00-5:00
523,1,Database Systems I,A. Lee,"626: Intro to Big Data and NoSQL; # 6253; Scott; Course Website; Manning 117 (1.5 credits, meets March 19- April 25) ",6:00-7:15
523,3,Database Systems I,Missen,,
523,02W,Database Systems I,Haas,"690-252: Database III; #8740; Scott; Course Website; Manning 117 (1.5 credits, meets January 10-March 7) ",
525,1,Electronic Records Management,Barnes,,
541,1,Information Visualization,Hemminger,690-254: Introduction to Data Management and Data Services; #12752; Hayslett/Hayes; Course Website; Manning 014 (3.0 credits) ,
